,Sweep,Mag,E_N,Beta,Temp,Mag_mean,Mag_max,Mag_min,E_mean,E_max,E_min
61,6,-0.20125,0.6575,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
62,7,-0.16125,0.61,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
63,8,-0.08125,0.53,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
64,9,-0.02125,0.5775,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
65,10,-0.045,0.6075,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
66,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
67,1,-0.7575,1.315,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
68,2,-0.56625,0.92,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
69,3,-0.4,0.685,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
70,4,-0.33,0.6075,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
71,5,-0.29875,0.615,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
72,6,-0.23375,0.62,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
73,7,-0.23375,0.565,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
74,8,-0.2225,0.6225,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
75,9,-0.11875,0.52,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
76,10,-0.1025,0.555,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
77,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
78,1,-0.80375,1.3975,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
79,2,-0.5625,0.98,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
80,3,-0.42,0.7175,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
81,4,-0.285,0.5475,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
82,5,-0.25,0.56,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
83,6,-0.165,0.625,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
84,7,-0.12875,0.5525,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
85,8,-0.13625,0.56,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
86,9,-0.1575,0.5425,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
87,10,-0.09,0.5325,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
88,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
89,1,-0.8,1.3425,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
90,2,-0.62125,0.99,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
91,3,-0.48,0.8,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
92,4,-0.35125,0.6525,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
93,5,-0.26125,0.6025,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
94,6,-0.205,0.5775,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
95,7,-0.1675,0.575,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
96,8,-0.1575,0.5325,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
97,9,-0.08625,0.51,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
98,10,-0.08875,0.5375,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
99,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
100,1,-0.7875,1.3625,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
101,2,-0.6225,0.9675,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
102,3,-0.4975,0.84,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
103,4,-0.395,0.6975,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
104,5,-0.305,0.6925,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
105,6,-0.22875,0.6175,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
106,7,-0.20125,0.5525,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
107,8,-0.16875,0.5625,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
108,9,-0.17625,0.6225,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
109,10,-0.16875,0.6025,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
110,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
111,1,-0.7775,1.2975,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
112,2,-0.58875,0.9225,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
113,3,-0.46625,0.785,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
114,4,-0.3225,0.69,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
115,5,-0.2525,0.595,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
116,6,-0.2075,0.53,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
117,7,-0.11375,0.625,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
118,8,-0.09125,0.5575,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
119,9,-0.10625,0.5725,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
120,10,-0.10625,0.55,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
121,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
122,1,-0.74375,1.2475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
123,2,-0.5625,0.925,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
124,3,-0.415,0.74,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
125,4,-0.35375,0.7175,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
126,5,-0.23875,0.6675,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
127,6,-0.18,0.6325,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
128,7,-0.13625,0.605,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
129,8,-0.1325,0.605,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
130,9,-0.14875,0.6,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
131,10,-0.1425,0.5675,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
132,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
133,1,-0.7675,1.305,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
134,2,-0.605,0.965,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
135,3,-0.395,0.6975,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
136,4,-0.27125,0.6875,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
137,5,-0.18375,0.6125,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
138,6,-0.16125,0.61,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
139,7,-0.115,0.565,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
140,8,-0.05,0.5175,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
141,9,-0.03875,0.52,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
142,10,0.02375,0.4325,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
143,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
144,1,-0.7775,1.3075,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
145,2,-0.6225,0.97,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
146,3,-0.49,0.76,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
147,4,-0.35125,0.69,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
148,5,-0.26125,0.61,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
149,6,-0.19875,0.5475,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
150,7,-0.16125,0.595,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
151,8,-0.0625,0.545,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
152,9,-0.05375,0.585,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
153,10,-0.0175,0.5575,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
154,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
155,1,-0.75125,1.2225,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
156,2,-0.54625,0.8925,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
157,3,-0.3975,0.7175,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
158,4,-0.26875,0.62,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
159,5,-0.16,0.605,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
160,6,-0.085,0.58,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
161,7,-0.04875,0.545,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
162,8,-0.0425,0.515,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
163,9,-0.02375,0.5,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
164,10,0.01,0.5575,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
165,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
166,1,-0.73125,1.2025,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
167,2,-0.5075,0.8175,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
168,3,-0.3825,0.7225,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
169,4,-0.2875,0.62,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
170,5,-0.20375,0.6475,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
171,6,-0.20875,0.6075,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
172,7,-0.125,0.5375,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
173,8,-0.0975,0.5675,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
174,9,-0.0375,0.5675,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
175,10,-0.07875,0.5375,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
176,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
177,1,-0.77625,1.295,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
178,2,-0.57875,0.9375,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
179,3,-0.4575,0.725,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
180,4,-0.3275,0.725,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
181,5,-0.235,0.6,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
182,6,-0.13625,0.54,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
183,7,-0.0775,0.5625,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
184,8,-0.035,0.575,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
185,9,-0.005,0.5375,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
186,10,0.03125,0.59,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
187,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
188,1,-0.78375,1.3625,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
189,2,-0.565,0.95,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
