,Sweep,Mag,E_N,Beta,Temp,Mag_mean,Mag_max,Mag_min,E_mean,E_max,E_min
270,6,-0.21125,0.615,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
271,7,-0.17375,0.5525,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
272,8,-0.1075,0.6025,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
273,9,-0.085,0.5425,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
274,10,-0.0775,0.565,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
275,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
276,1,-0.775,1.3025,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
277,2,-0.57125,0.9375,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
278,3,-0.47,0.78,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
279,4,-0.35125,0.66,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
280,5,-0.3,0.7,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
281,6,-0.16875,0.5775,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
282,7,-0.14,0.56,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
283,8,-0.0825,0.53,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
284,9,-0.08875,0.545,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
285,10,-0.0475,0.5325,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
286,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
287,1,-0.775,1.3225,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
288,2,-0.575,0.905,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
289,3,-0.47,0.795,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
290,4,-0.43375,0.8075,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
291,5,-0.29375,0.6425,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
292,6,-0.19875,0.6175,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
293,7,-0.17625,0.6025,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
294,8,-0.14,0.5675,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
295,9,-0.065,0.48,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
296,10,-0.025,0.5,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
297,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
298,1,-0.77,1.3025,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
299,2,-0.59875,0.9725,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
300,3,-0.4775,0.7775,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
301,4,-0.34125,0.655,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
302,5,-0.22875,0.5775,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
303,6,-0.2025,0.575,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
304,7,-0.05625,0.5575,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
305,8,-0.07875,0.61,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
306,9,-0.03125,0.52,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
307,10,-0.025,0.4975,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
308,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
309,1,-0.77625,1.285,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
310,2,-0.5625,0.875,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
311,3,-0.39625,0.735,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
312,4,-0.2925,0.6375,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
313,5,-0.28125,0.7025,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
314,6,-0.22625,0.6175,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
315,7,-0.165,0.5125,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
316,8,-0.14,0.625,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
317,9,-0.105,0.6425,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
318,10,-0.06375,0.5775,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
319,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
320,1,-0.75625,1.265,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
321,2,-0.57875,0.97,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
322,3,-0.42125,0.77,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
323,4,-0.29125,0.6875,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
324,5,-0.24375,0.6625,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
325,6,-0.1625,0.565,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
326,7,-0.10625,0.5675,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
327,8,-0.02,0.5475,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
328,9,-0.02875,0.5075,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
329,10,-0.04625,0.5225,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
330,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
331,1,-0.7825,1.32,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
332,2,-0.5975,0.9525,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
333,3,-0.43875,0.7375,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
334,4,-0.3025,0.66,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
335,5,-0.29125,0.65,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
336,6,-0.2575,0.625,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
337,7,-0.21625,0.6225,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
338,8,-0.19625,0.59,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
339,9,-0.15625,0.575,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
340,10,-0.12875,0.625,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
341,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
342,1,-0.7475,1.2475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
343,2,-0.56375,0.9025,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
344,3,-0.3825,0.6925,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
345,4,-0.305,0.5875,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
346,5,-0.1825,0.5325,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
347,6,-0.12125,0.575,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
348,7,-0.095,0.55,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
349,8,-0.1375,0.565,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
350,9,-0.05375,0.5875,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
351,10,-0.06,0.565,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
352,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
353,1,-0.77125,1.27,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
354,2,-0.6,0.915,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
355,3,-0.5225,0.855,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
356,4,-0.4125,0.745,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
357,5,-0.36625,0.72,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
358,6,-0.20875,0.5575,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
359,7,-0.215,0.5975,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
360,8,-0.1475,0.575,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
361,9,-0.12625,0.5725,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
362,10,-0.055,0.6225,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
363,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
364,1,-0.74625,1.2475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
365,2,-0.585,1.015,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
366,3,-0.4175,0.7,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
367,4,-0.29375,0.645,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
368,5,-0.2175,0.5725,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
369,6,-0.14875,0.535,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
370,7,-0.15625,0.4875,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
371,8,-0.1425,0.5675,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
372,9,-0.0775,0.5325,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
373,10,-0.07,0.5525,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
374,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
375,1,-0.745,1.255,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
376,2,-0.59625,1,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
377,3,-0.48,0.795,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
378,4,-0.36875,0.6425,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
379,5,-0.29625,0.585,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
380,6,-0.2125,0.62,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
381,7,-0.20375,0.5575,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
382,8,-0.1575,0.5925,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
383,9,-0.1575,0.555,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
384,10,-0.145,0.545,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
385,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
386,1,-0.75625,1.2925,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
387,2,-0.645,1.0325,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
388,3,-0.5025,0.8175,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
389,4,-0.3075,0.6225,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
390,5,-0.22875,0.6075,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
391,6,-0.28,0.6,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
392,7,-0.16,0.5175,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
393,8,-0.11375,0.5,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
394,9,-0.08,0.52,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
395,10,-0.035,0.5675,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
396,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
397,1,-0.71,1.1475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
398,2,-0.50375,0.835,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
399,3,-0.38125,0.7325,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
400,4,-0.285,0.635,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
401,5,-0.26125,0.5575,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
402,6,-0.24375,0.6325,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
403,7,-0.13625,0.5275,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
404,8,-0.10375,0.5575,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
405,9,-0.12375,0.525,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
406,10,-0.07375,0.545,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
407,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
408,1,-0.77625,1.31,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
409,2,-0.59125,0.9675,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
410,3,-0.40125,0.765,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
411,4,-0.28625,0.6575,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
412,5,-0.165,0.56,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
413,6,-0.09,0.565,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
414,7,-0.045,0.565,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
415,8,0.00625,0.5775,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
416,9,0.00625,0.54,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
417,10,0.02875,0.575,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
418,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
419,1,-0.76375,1.2675,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
420,2,-0.55375,0.9225,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
421,3,-0.44875,0.74,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
422,4,-0.3225,0.6275,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
423,5,-0.2825,0.69,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
424,6,-0.24375,0.5925,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
425,7,-0.20375,0.56,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
426,8,-0.19,0.5575,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
427,9,-0.1725,0.65,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
428,10,-0.1325,0.63,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
429,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
430,1,-0.76,1.2925,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
431,2,-0.60625,0.995,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
432,3,-0.4325,0.74,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
433,4,-0.2825,0.6175,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
434,5,-0.2025,0.6225,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
435,6,-0.19375,0.67,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
436,7,-0.1625,0.6025,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
437,8,-0.11875,0.5625,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
438,9,-0.11875,0.6,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
439,10,-0.0775,0.5375,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
440,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
441,1,-0.755,1.2525,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
442,2,-0.5075,0.84,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
443,3,-0.40375,0.7675,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
444,4,-0.31,0.6675,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
445,5,-0.2275,0.5675,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
446,6,-0.19875,0.535,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
447,7,-0.165,0.6425,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
448,8,-0.1275,0.6075,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
449,9,-0.12125,0.55,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
450,10,-0.11375,0.58,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
451,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
452,1,-0.7875,1.345,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
453,2,-0.62125,1.0175,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
454,3,-0.4575,0.79,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
455,4,-0.36375,0.675,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
456,5,-0.2825,0.65,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
457,6,-0.2325,0.6325,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
458,7,-0.19125,0.6575,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
459,8,-0.1475,0.55,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
460,9,-0.105,0.535,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
461,10,-0.10875,0.5225,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
462,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
463,1,-0.785,1.335,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
464,2,-0.58,0.955,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
465,3,-0.47125,0.7725,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
466,4,-0.355,0.64,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
467,5,-0.24375,0.4925,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
468,6,-0.17125,0.5525,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
469,7,-0.13625,0.4975,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
470,8,-0.10375,0.48,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
471,9,-0.13875,0.545,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
472,10,-0.11125,0.5175,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
473,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
474,1,-0.775,1.3275,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
475,2,-0.5925,0.9575,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
476,3,-0.46875,0.8375,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
477,4,-0.3875,0.665,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
478,5,-0.2875,0.6125,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
479,6,-0.19375,0.5275,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
480,7,-0.11625,0.565,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
481,8,-0.08625,0.565,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
482,9,-0.11125,0.5825,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
483,10,-0.08875,0.5825,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
484,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
485,1,-0.72,1.18,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
486,2,-0.53125,0.885,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
487,3,-0.41375,0.755,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
488,4,-0.31625,0.7425,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
489,5,-0.2425,0.7,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
490,6,-0.24875,0.6925,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
491,7,-0.125,0.59,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
492,8,-0.1,0.6325,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
493,9,-0.06375,0.5275,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
494,10,-0.02375,0.5225,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
495,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
496,1,-0.76125,1.275,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
497,2,-0.59375,0.93,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
498,3,-0.51875,0.8725,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
499,4,-0.40625,0.73,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
500,5,-0.31625,0.7,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
501,6,-0.235,0.6125,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
502,7,-0.19625,0.64,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
503,8,-0.13125,0.5925,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
504,9,-0.16,0.5925,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
505,10,-0.0925,0.545,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
506,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
507,1,-0.7525,1.26,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
508,2,-0.53875,0.8725,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
509,3,-0.42,0.8,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
510,4,-0.30375,0.71,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
511,5,-0.19625,0.6225,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
512,6,-0.14,0.5975,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
513,7,-0.125,0.5675,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
514,8,-0.055,0.49,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
515,9,-0.05625,0.4825,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
516,10,0,0.5525,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
517,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
518,1,-0.74375,1.2125,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
519,2,-0.61625,0.985,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
520,3,-0.48875,0.775,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
521,4,-0.35875,0.6675,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
522,5,-0.32375,0.6575,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
523,6,-0.24375,0.61,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
524,7,-0.1075,0.5,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
525,8,-0.15375,0.565,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
526,9,-0.1675,0.575,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
527,10,-0.0925,0.5575,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
528,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
529,1,-0.745,1.2475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
530,2,-0.525,0.8175,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
531,3,-0.41375,0.7,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
532,4,-0.3025,0.6425,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
533,5,-0.2375,0.68,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
534,6,-0.145,0.5625,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
535,7,-0.16,0.5475,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
536,8,-0.14625,0.5175,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
537,9,-0.12125,0.5275,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
538,10,-0.115,0.5475,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
539,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
540,1,-0.76875,1.275,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
541,2,-0.6075,0.98,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
542,3,-0.4325,0.735,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
