Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd
0.982557,-0.999461,0.000117443,0.999461,0.000117443,0.999375,-3.99569,0.000939541
0.987096,-0.999191,0.00012536,0.999191,0.00012536,0.99935,-3.99363,0.000960784
0.991634,-0.999167,0.000166667,0.999167,0.000166667,0.999325,-3.99353,0.00125475
0.996172,-0.999265,0.000157245,0.999265,0.000157245,0.999299,-3.99431,0.00118834
1.00071,-0.999338,0.000149971,0.999338,0.000149971,0.999271,-3.99471,0.00119977
1.00525,-0.998873,0.000172407,0.998873,0.000172407,0.999244,-3.99127,0.00132726
1.00979,-0.998775,0.000176743,0.998775,0.000176743,0.999215,-3.99049,0.00133765
1.01433,-0.998897,0.000170233,0.998897,0.000170233,0.999185,-3.99147,0.00130078
1.01886,-0.999118,0.000145581,0.999118,0.000145581,0.999155,-3.99314,0.0010933
1.0234,-0.998725,0.000169667,0.998725,0.000169667,0.999124,-3.9902,0.00127541
1.02794,-0.998848,0.000159822,0.998848,0.000159822,0.999091,-3.99078,0.00127858
1.03248,-0.998946,0.000161839,0.998946,0.000161839,0.999058,-3.99176,0.00123529
1.03702,-0.999044,0.000129044,0.999044,0.000129044,0.999024,-3.99255,0.000993829
1.04156,-0.999069,0.000167314,0.999069,0.000167314,0.998989,-3.99255,0.00133851
1.04609,-0.998235,0.000227347,0.998235,0.000227347,0.998954,-3.98647,0.00168205
1.05063,-0.99924,0.0001266,0.99924,0.0001266,0.998917,-3.99392,0.0010128
1.05517,-0.998946,0.000169242,0.998946,0.000169242,0.998879,-3.99176,0.00131226
1.05971,-0.99848,0.000198998,0.99848,0.000198998,0.99884,-3.98804,0.00152803
1.06425,-0.99924,0.000135936,0.99924,0.000135936,0.9988,-3.99422,0.00100365
1.06879,-0.998284,0.000215686,0.998284,0.000215686,0.998759,-3.98647,0.00168205
1.07332,-0.998725,0.000208549,0.998725,0.000208549,0.998717,-3.9901,0.00161786
1.07786,-0.998235,0.000230027,0.998235,0.000230027,0.998674,-3.98588,0.00184021
1.0824,-0.999142,0.000162284,0.999142,0.000162284,0.998629,-3.99373,0.00113624
1.08694,-0.998358,0.000208549,0.998358,0.000208549,0.998584,-3.98735,0.00158023
1.09148,-0.998578,0.000171569,0.998578,0.000171569,0.998537,-3.98873,0.00134924
1.09602,-0.998333,0.000223241,0.998333,0.000223241,0.99849,-3.98745,0.00164718
1.10055,-0.998922,0.000156633,0.998922,0.000156633,0.998441,-3.99147,0.0012231
