Sweep,Mag,E_N,Beta,Temp
10,-0.005,0.6625,0.25,4
0,-1,2,0.25,4
1,-0.73625,1.2125,0.25,4
2,-0.54375,0.795,0.25,4
3,-0.415,0.745,0.25,4
4,-0.3275,0.6175,0.25,4
5,-0.26875,0.635,0.25,4
6,-0.205,0.5825,0.25,4
7,-0.1375,0.5125,0.25,4
8,-0.11375,0.5975,0.25,4
9,-0.075,0.515,0.25,4
10,-0.09125,0.585,0.25,4
0,-1,2,0.25,4
1,-0.76375,1.235,0.25,4
2,-0.5825,0.9225,0.25,4
3,-0.46625,0.7625,0.25,4
4,-0.35875,0.715,0.25,4
5,-0.2325,0.665,0.25,4
6,-0.1625,0.555,0.25,4
7,-0.1175,0.5275,0.25,4
8,-0.05,0.53,0.25,4
9,-0.00625,0.5525,0.25,4
10,-0.0425,0.635,0.25,4
0,-1,2,0.25,4
1,-0.73375,1.1775,0.25,4
2,-0.5125,0.86,0.25,4
3,-0.4175,0.745,0.25,4
4,-0.3675,0.6975,0.25,4
5,-0.28375,0.67,0.25,4
6,-0.23625,0.6125,0.25,4
7,-0.16375,0.555,0.25,4
8,-0.12375,0.5275,0.25,4
9,-0.12,0.5625,0.25,4
10,-0.07375,0.5525,0.25,4
0,-1,2,0.25,4
1,-0.7325,1.23,0.25,4
2,-0.57875,0.9225,0.25,4
3,-0.42375,0.755,0.25,4
4,-0.30125,0.705,0.25,4
5,-0.235,0.66,0.25,4
6,-0.14375,0.6075,0.25,4
7,-0.17,0.4875,0.25,4
8,-0.1325,0.5525,0.25,4
9,-0.125,0.5375,0.25,4
10,-0.15125,0.595,0.25,4
0,-1,2,0.25,4
1,-0.76125,1.26,0.25,4
2,-0.58875,0.9575,0.25,4
3,-0.4825,0.7775,0.25,4
4,-0.37,0.7125,0.25,4
5,-0.29125,0.67,0.25,4
6,-0.25625,0.6625,0.25,4
7,-0.20375,0.535,0.25,4
8,-0.1625,0.6,0.25,4
9,-0.1575,0.6025,0.25,4
10,-0.08875,0.5125,0.25,4
0,-1,2,0.25,4
1,-0.7575,1.2775,0.25,4
2,-0.55875,0.8975,0.25,4
3,-0.45,0.795,0.25,4
4,-0.35,0.685,0.25,4
5,-0.235,0.6075,0.25,4
6,-0.14625,0.52,0.25,4
7,-0.0625,0.52,0.25,4
8,-0.105,0.525,0.25,4
9,-0.06375,0.5675,0.25,4
10,-0.05625,0.5125,0.25,4
0,-1,2,0.25,4
1,-0.76625,1.295,0.25,4
2,-0.55,0.885,0.25,4
3,-0.3975,0.725,0.25,4
4,-0.29125,0.635,0.25,4
5,-0.1925,0.6,0.25,4
6,-0.16875,0.61,0.25,4
7,-0.0825,0.6125,0.25,4
8,-0.06,0.55,0.25,4
9,-0.03625,0.595,0.25,4
10,-0.10875,0.5825,0.25,4
0,-1,2,0.25,4
1,-0.76875,1.29,0.25,4
2,-0.57,0.9625,0.25,4
3,-0.405,0.7725,0.25,4
4,-0.32125,0.6675,0.25,4
5,-0.29,0.6375,0.25,4
6,-0.1925,0.615,0.25,4
7,-0.1525,0.6025,0.25,4
8,-0.13,0.5425,0.25,4
9,-0.1275,0.595,0.25,4
10,-0.09125,0.61,0.25,4
0,-1,2,0.25,4
1,-0.76125,1.33,0.25,4
2,-0.6275,1.0275,0.25,4
3,-0.47625,0.7875,0.25,4
4,-0.34875,0.675,0.25,4
5,-0.23,0.5475,0.25,4
6,-0.175,0.6425,0.25,4
7,-0.1075,0.5975,0.25,4
8,-0.07625,0.5075,0.25,4
9,-0.05875,0.53,0.25,4
10,-0.0425,0.53,0.25,4
0,-1,2,0.25,4
1,-0.77,1.3325,0.25,4
2,-0.61125,1.0125,0.25,4
3,-0.445,0.8125,0.25,4
4,-0.3475,0.68,0.25,4
5,-0.2375,0.55,0.25,4
6,-0.21625,0.58,0.25,4
7,-0.14875,0.5625,0.25,4
8,-0.125,0.5775,0.25,4
9,-0.10625,0.5425,0.25,4
10,-0.12375,0.53,0.25,4
0,-1,2,0.25,4
1,-0.74375,1.2175,0.25,4
2,-0.5575,0.9075,0.25,4
3,-0.425,0.8,0.25,4
4,-0.36,0.6725,0.25,4
5,-0.28125,0.61,0.25,4
6,-0.23625,0.64,0.25,4
7,-0.15875,0.5875,0.25,4
8,-0.11875,0.625,0.25,4
9,-0.08625,0.5175,0.25,4
10,-0.00125,0.54,0.25,4
0,-1,2,0.25,4
1,-0.7575,1.275,0.25,4
2,-0.58875,0.92,0.25,4
3,-0.4825,0.83,0.25,4
4,-0.325,0.7125,0.25,4
5,-0.235,0.6575,0.25,4
6,-0.1575,0.55,0.25,4
7,-0.11625,0.5625,0.25,4
8,-0.0725,0.5625,0.25,4
9,-0.1125,0.5975,0.25,4
10,-0.06375,0.6075,0.25,4
0,-1,2,0.25,4
1,-0.74875,1.2625,0.25,4
2,-0.6175,1.03,0.25,4
3,-0.4825,0.83,0.25,4
4,-0.3825,0.7,0.25,4
5,-0.34375,0.6475,0.25,4
6,-0.25375,0.6925,0.25,4
7,-0.16875,0.6225,0.25,4
8,-0.175,0.545,0.25,4
9,-0.1225,0.565,0.25,4
10,-0.1,0.5675,0.25,4
0,-1,2,0.25,4
1,-0.76625,1.3175,0.25,4
2,-0.5425,0.8575,0.25,4
3,-0.4125,0.71,0.25,4
4,-0.29375,0.5775,0.25,4
5,-0.21125,0.545,0.25,4
6,-0.19625,0.555,0.25,4
7,-0.18125,0.59,0.25,4
8,-0.15,0.605,0.25,4
9,-0.09625,0.57,0.25,4
10,-0.05,0.575,0.25,4
0,-1,2,0.25,4
1,-0.78875,1.335,0.25,4
2,-0.58625,1.0075,0.25,4
3,-0.4275,0.7725,0.25,4
4,-0.31125,0.65,0.25,4
5,-0.20375,0.63,0.25,4
6,-0.17875,0.595,0.25,4
7,-0.17,0.61,0.25,4
8,-0.10375,0.6,0.25,4
9,-0.07125,0.555,0.25,4
10,-0.05625,0.5425,0.25,4
0,-1,2,0.25,4
1,-0.8075,1.37,0.25,4
2,-0.6075,0.98,0.25,4
3,-0.44375,0.8025,0.25,4
4,-0.25125,0.6125,0.25,4
5,-0.215,0.6075,0.25,4
6,-0.23125,0.5625,0.25,4
7,-0.16375,0.58,0.25,4
8,-0.15125,0.57,0.25,4
9,-0.10625,0.5375,0.25,4
10,-0.0675,0.5775,0.25,4
0,-1,2,0.25,4
1,-0.75125,1.2825,0.25,4
2,-0.62,1.06,0.25,4
3,-0.4525,0.79,0.25,4
4,-0.29,0.685,0.25,4
5,-0.2325,0.65,0.25,4
6,-0.1225,0.5275,0.25,4
7,-0.0225,0.57,0.25,4
8,-0.0425,0.57,0.25,4
9,-0.025,0.5125,0.25,4
10,-0.06125,0.585,0.25,4
0,-1,2,0.25,4
1,-0.76125,1.3025,0.25,4
2,-0.55875,0.87,0.25,4
3,-0.4375,0.6925,0.25,4
4,-0.27125,0.6025,0.25,4
5,-0.20375,0.465,0.25,4
6,-0.13875,0.51,0.25,4
7,-0.175,0.5275,0.25,4
8,-0.12375,0.5725,0.25,4
9,-0.1325,0.515,0.25,4
10,-0.1075,0.5375,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.2975,0.25,4
2,-0.60125,0.965,0.25,4
3,-0.42375,0.745,0.25,4
4,-0.31625,0.655,0.25,4
5,-0.2625,0.625,0.25,4
6,-0.2175,0.555,0.25,4
7,-0.185,0.535,0.25,4
8,-0.065,0.5125,0.25,4
9,-0.03875,0.565,0.25,4
10,-0.0625,0.54,0.25,4
0,-1,2,0.25,4
1,-0.74125,1.25,0.25,4
2,-0.55625,0.94,0.25,4
3,-0.43625,0.795,0.25,4
4,-0.35375,0.7975,0.25,4
5,-0.2025,0.6175,0.25,4
6,-0.12375,0.5775,0.25,4
7,-0.11375,0.57,0.25,4
8,-0.06125,0.545,0.25,4
9,0.045,0.53,0.25,4
10,0.025,0.5175,0.25,4
0,-1,2,0.25,4
1,-0.75,1.2325,0.25,4
2,-0.55875,0.8875,0.25,4
3,-0.38875,0.7175,0.25,4
4,-0.34625,0.71,0.25,4
5,-0.29625,0.73,0.25,4
6,-0.24875,0.6975,0.25,4
7,-0.17625,0.6075,0.25,4
8,-0.11125,0.535,0.25,4
9,-0.1275,0.5625,0.25,4
10,-0.125,0.545,0.25,4
0,-1,2,0.25,4
1,-0.7325,1.2525,0.25,4
2,-0.555,0.88,0.25,4
3,-0.40625,0.715,0.25,4
4,-0.28375,0.625,0.25,4
5,-0.19875,0.57,0.25,4
6,-0.17625,0.595,0.25,4
7,-0.1075,0.6175,0.25,4
8,-0.13,0.6875,0.25,4
9,-0.09625,0.6325,0.25,4
10,-0.0825,0.56,0.25,4
0,-1,2,0.25,4
1,-0.77125,1.31,0.25,4
2,-0.61,1.02,0.25,4
3,-0.495,0.7775,0.25,4
4,-0.39875,0.7175,0.25,4
5,-0.34125,0.66,0.25,4
6,-0.26375,0.62,0.25,4
7,-0.23125,0.5375,0.25,4
8,-0.1225,0.4875,0.25,4
9,-0.0975,0.575,0.25,4
10,-0.08625,0.5975,0.25,4
0,-1,2,0.25,4
1,-0.77,1.2825,0.25,4
2,-0.55375,0.885,0.25,4
3,-0.42125,0.77,0.25,4
4,-0.315,0.675,0.25,4
5,-0.24625,0.5725,0.25,4
6,-0.17875,0.5625,0.25,4
7,-0.12,0.6125,0.25,4
8,-0.1175,0.595,0.25,4
9,-0.0475,0.6025,0.25,4
10,-0.01,0.635,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.2475,0.25,4
2,-0.605,0.98,0.25,4
3,-0.45625,0.76,0.25,4
4,-0.2825,0.635,0.25,4
5,-0.22375,0.6225,0.25,4
6,-0.24625,0.61,0.25,4
7,-0.16875,0.6575,0.25,4
8,-0.1175,0.62,0.25,4
9,-0.05125,0.5275,0.25,4
10,-0.105,0.56,0.25,4
0,-1,2,0.25,4
1,-0.7675,1.3275,0.25,4
2,-0.595,0.9025,0.25,4
3,-0.51125,0.8825,0.25,4
4,-0.42625,0.715,0.25,4
5,-0.31,0.5975,0.25,4
6,-0.245,0.62,0.25,4
7,-0.21125,0.575,0.25,4
8,-0.175,0.5925,0.25,4
9,-0.0975,0.5425,0.25,4
10,-0.08625,0.5475,0.25,4
0,-1,2,0.25,4
1,-0.75,1.26,0.25,4
2,-0.56125,0.8875,0.25,4
3,-0.41,0.8475,0.25,4
4,-0.33,0.655,0.25,4
5,-0.2175,0.59,0.25,4
6,-0.08625,0.4975,0.25,4
7,-0.0725,0.6275,0.25,4
8,-0.08875,0.595,0.25,4
9,-0.0925,0.58,0.25,4
10,-0.02625,0.5775,0.25,4
0,-1,2,0.25,4
1,-0.7325,1.2325,0.25,4
2,-0.5625,0.9275,0.25,4
3,-0.43625,0.6725,0.25,4
4,-0.3325,0.675,0.25,4
5,-0.2775,0.6625,0.25,4
6,-0.2275,0.665,0.25,4
7,-0.1425,0.615,0.25,4
8,-0.12625,0.6825,0.25,4
9,-0.0825,0.57,0.25,4
10,-0.09125,0.5325,0.25,4
0,-1,2,0.25,4
1,-0.775,1.29,0.25,4
2,-0.525,0.84,0.25,4
3,-0.39,0.6725,0.25,4
4,-0.2975,0.7075,0.25,4
5,-0.21375,0.66,0.25,4
6,-0.175,0.5525,0.25,4
7,-0.2,0.6025,0.25,4
8,-0.15125,0.6275,0.25,4
9,-0.14625,0.6275,0.25,4
10,-0.1125,0.6175,0.25,4
