Sweep,Mag,E_N,Beta,Temp
2,-0.57875,0.9375,0.25,4
3,-0.4575,0.725,0.25,4
4,-0.3275,0.725,0.25,4
5,-0.235,0.6,0.25,4
6,-0.13625,0.54,0.25,4
7,-0.0775,0.5625,0.25,4
8,-0.035,0.575,0.25,4
9,-0.005,0.5375,0.25,4
10,0.03125,0.59,0.25,4
0,-1,2,0.25,4
1,-0.78375,1.3625,0.25,4
2,-0.565,0.95,0.25,4
3,-0.45125,0.7275,0.25,4
4,-0.35,0.7125,0.25,4
5,-0.33625,0.68,0.25,4
6,-0.28375,0.685,0.25,4
7,-0.22375,0.7075,0.25,4
8,-0.17625,0.6075,0.25,4
9,-0.14875,0.65,0.25,4
10,-0.11125,0.565,0.25,4
0,-1,2,0.25,4
1,-0.75125,1.2475,0.25,4
2,-0.55125,0.96,0.25,4
3,-0.4425,0.755,0.25,4
4,-0.325,0.665,0.25,4
5,-0.23125,0.635,0.25,4
6,-0.18,0.605,0.25,4
7,-0.165,0.62,0.25,4
8,-0.1575,0.6075,0.25,4
9,-0.17375,0.5675,0.25,4
10,-0.17,0.5725,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.2875,0.25,4
2,-0.565,0.965,0.25,4
3,-0.405,0.7225,0.25,4
4,-0.3475,0.7175,0.25,4
5,-0.2525,0.6775,0.25,4
6,-0.20125,0.615,0.25,4
7,-0.17,0.5375,0.25,4
8,-0.08125,0.54,0.25,4
9,-0.04125,0.495,0.25,4
10,-0.03875,0.5075,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.2825,0.25,4
2,-0.62375,1.035,0.25,4
3,-0.48,0.84,0.25,4
4,-0.38,0.7425,0.25,4
5,-0.295,0.6825,0.25,4
6,-0.2525,0.595,0.25,4
7,-0.2175,0.55,0.25,4
8,-0.19125,0.495,0.25,4
9,-0.15375,0.5075,0.25,4
10,-0.055,0.6,0.25,4
0,-1,2,0.25,4
1,-0.72125,1.1825,0.25,4
2,-0.585,0.95,0.25,4
3,-0.47875,0.7825,0.25,4
4,-0.39125,0.71,0.25,4
5,-0.325,0.6225,0.25,4
6,-0.2175,0.6025,0.25,4
7,-0.1975,0.6275,0.25,4
8,-0.16,0.5875,0.25,4
9,-0.13,0.575,0.25,4
10,-0.1275,0.52,0.25,4
0,-1,2,0.25,4
1,-0.765,1.295,0.25,4
2,-0.605,1.0175,0.25,4
3,-0.47625,0.7875,0.25,4
4,-0.35125,0.7025,0.25,4
5,-0.30125,0.655,0.25,4
6,-0.1625,0.62,0.25,4
7,-0.14125,0.63,0.25,4
8,-0.065,0.6825,0.25,4
9,-0.06125,0.5825,0.25,4
10,-0.025,0.6075,0.25,4
0,-1,2,0.25,4
1,-0.74625,1.2875,0.25,4
2,-0.565,0.855,0.25,4
3,-0.43,0.715,0.25,4
4,-0.375,0.685,0.25,4
5,-0.23625,0.5725,0.25,4
6,-0.125,0.4775,0.25,4
7,-0.08375,0.5225,0.25,4
8,-0.0075,0.5025,0.25,4
9,-0.0875,0.5475,0.25,4
10,-0.01,0.465,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.31,0.25,4
2,-0.6225,1.0775,0.25,4
3,-0.55375,0.915,0.25,4
4,-0.44875,0.835,0.25,4
5,-0.3225,0.6575,0.25,4
6,-0.21125,0.615,0.25,4
7,-0.17375,0.5525,0.25,4
8,-0.1075,0.6025,0.25,4
9,-0.085,0.5425,0.25,4
10,-0.0775,0.565,0.25,4
0,-1,2,0.25,4
1,-0.775,1.3025,0.25,4
2,-0.57125,0.9375,0.25,4
3,-0.47,0.78,0.25,4
4,-0.35125,0.66,0.25,4
5,-0.3,0.7,0.25,4
6,-0.16875,0.5775,0.25,4
7,-0.14,0.56,0.25,4
8,-0.0825,0.53,0.25,4
9,-0.08875,0.545,0.25,4
10,-0.0475,0.5325,0.25,4
0,-1,2,0.25,4
1,-0.775,1.3225,0.25,4
2,-0.575,0.905,0.25,4
3,-0.47,0.795,0.25,4
4,-0.43375,0.8075,0.25,4
5,-0.29375,0.6425,0.25,4
6,-0.19875,0.6175,0.25,4
7,-0.17625,0.6025,0.25,4
8,-0.14,0.5675,0.25,4
9,-0.065,0.48,0.25,4
10,-0.025,0.5,0.25,4
0,-1,2,0.25,4
1,-0.77,1.3025,0.25,4
2,-0.59875,0.9725,0.25,4
3,-0.4775,0.7775,0.25,4
4,-0.34125,0.655,0.25,4
5,-0.22875,0.5775,0.25,4
6,-0.2025,0.575,0.25,4
7,-0.05625,0.5575,0.25,4
8,-0.07875,0.61,0.25,4
9,-0.03125,0.52,0.25,4
10,-0.025,0.4975,0.25,4
0,-1,2,0.25,4
1,-0.77625,1.285,0.25,4
2,-0.5625,0.875,0.25,4
3,-0.39625,0.735,0.25,4
4,-0.2925,0.6375,0.25,4
5,-0.28125,0.7025,0.25,4
6,-0.22625,0.6175,0.25,4
7,-0.165,0.5125,0.25,4
8,-0.14,0.625,0.25,4
9,-0.105,0.6425,0.25,4
10,-0.06375,0.5775,0.25,4
0,-1,2,0.25,4
1,-0.75625,1.265,0.25,4
2,-0.57875,0.97,0.25,4
3,-0.42125,0.77,0.25,4
4,-0.29125,0.6875,0.25,4
5,-0.24375,0.6625,0.25,4
6,-0.1625,0.565,0.25,4
7,-0.10625,0.5675,0.25,4
8,-0.02,0.5475,0.25,4
9,-0.02875,0.5075,0.25,4
10,-0.04625,0.5225,0.25,4
0,-1,2,0.25,4
1,-0.7825,1.32,0.25,4
2,-0.5975,0.9525,0.25,4
3,-0.43875,0.7375,0.25,4
4,-0.3025,0.66,0.25,4
5,-0.29125,0.65,0.25,4
6,-0.2575,0.625,0.25,4
7,-0.21625,0.6225,0.25,4
8,-0.19625,0.59,0.25,4
9,-0.15625,0.575,0.25,4
10,-0.12875,0.625,0.25,4
0,-1,2,0.25,4
1,-0.7475,1.2475,0.25,4
2,-0.56375,0.9025,0.25,4
3,-0.3825,0.6925,0.25,4
4,-0.305,0.5875,0.25,4
5,-0.1825,0.5325,0.25,4
6,-0.12125,0.575,0.25,4
7,-0.095,0.55,0.25,4
8,-0.1375,0.565,0.25,4
9,-0.05375,0.5875,0.25,4
10,-0.06,0.565,0.25,4
0,-1,2,0.25,4
1,-0.77125,1.27,0.25,4
2,-0.6,0.915,0.25,4
3,-0.5225,0.855,0.25,4
4,-0.4125,0.745,0.25,4
5,-0.36625,0.72,0.25,4
6,-0.20875,0.5575,0.25,4
7,-0.215,0.5975,0.25,4
8,-0.1475,0.575,0.25,4
9,-0.12625,0.5725,0.25,4
10,-0.055,0.6225,0.25,4
0,-1,2,0.25,4
1,-0.74625,1.2475,0.25,4
2,-0.585,1.015,0.25,4
3,-0.4175,0.7,0.25,4
4,-0.29375,0.645,0.25,4
5,-0.2175,0.5725,0.25,4
6,-0.14875,0.535,0.25,4
7,-0.15625,0.4875,0.25,4
8,-0.1425,0.5675,0.25,4
9,-0.0775,0.5325,0.25,4
10,-0.07,0.5525,0.25,4
0,-1,2,0.25,4
1,-0.745,1.255,0.25,4
2,-0.59625,1,0.25,4
3,-0.48,0.795,0.25,4
4,-0.36875,0.6425,0.25,4
5,-0.29625,0.585,0.25,4
6,-0.2125,0.62,0.25,4
7,-0.20375,0.5575,0.25,4
8,-0.1575,0.5925,0.25,4
9,-0.1575,0.555,0.25,4
10,-0.145,0.545,0.25,4
0,-1,2,0.25,4
1,-0.75625,1.2925,0.25,4
2,-0.645,1.0325,0.25,4
3,-0.5025,0.8175,0.25,4
4,-0.3075,0.6225,0.25,4
5,-0.22875,0.6075,0.25,4
6,-0.28,0.6,0.25,4
7,-0.16,0.5175,0.25,4
8,-0.11375,0.5,0.25,4
