Temp,T_Tc,Mag_sim,Mag_exact,Mag_mf
0.710255,0.313,0.999975,0.999974,0.996574
0.714793,0.315,1,0.999972,0.99643
0.719332,0.317,1,0.99997,0.996281
0.72387,0.319,1,0.999968,0.996128
0.728408,0.321,1,0.999965,0.995971
0.732947,0.323,0.999902,0.999963,0.99581
0.737485,0.325,0.999975,0.99996,0.995643
0.742024,0.327,0.999902,0.999958,0.995473
0.746562,0.329,0.999975,0.999955,0.995297
0.7511,0.331,0.999902,0.999952,0.995117
0.755639,0.333,0.999975,0.999948,0.994933
0.760177,0.335,0.999828,0.999945,0.994743
0.764715,0.337,0.999926,0.999942,0.994549
0.769254,0.339,1,0.999938,0.99435
0.773792,0.341,0.999902,0.999934,0.994146
0.778331,0.343,0.999951,0.99993,0.993936
0.782869,0.345,0.999975,0.999925,0.993722
0.787407,0.347,0.999951,0.999921,0.993503
0.791946,0.349,0.999975,0.999916,0.993278
0.796484,0.351,0.999877,0.999911,0.993048
0.801022,0.353,0.999853,0.999905,0.992813
0.805561,0.355,0.999975,0.9999,0.992572
0.810099,0.357,0.999828,0.999894,0.992326
0.814638,0.359,0.999951,0.999888,0.992075
0.819176,0.361,0.999902,0.999882,0.991818
0.823714,0.363,0.999804,0.999875,0.991555
0.828253,0.365,0.999877,0.999868,0.991287
0.832791,0.367,0.999975,0.999861,0.991013
0.837329,0.369,0.999951,0.999853,0.990733
0.841868,0.371,0.999951,0.999845,0.990448
0.846406,0.373,0.999853,0.999837,0.990156
0.850944,0.375,0.999902,0.999829,0.989859
0.855483,0.377,0.999706,0.99982,0.989556
0.860021,0.379,0.999951,0.99981,0.989247
0.86456,0.381,0.999853,0.999801,0.988931
0.869098,0.383,0.999853,0.99979,0.98861
0.873636,0.385,0.999779,0.99978,0.988282
0.878175,0.387,0.999828,0.999769,0.987949
0.882713,0.389,0.999828,0.999758,0.987609
0.887251,0.391,0.999877,0.999746,0.987262
0.89179,0.393,0.999755,0.999734,0.986909
0.896328,0.395,0.999559,0.999721,0.98655
0.900867,0.397,0.999314,0.999708,0.986185
0.905405,0.399,0.999657,0.999694,0.985812
0.909943,0.401,0.999534,0.99968,0.985434
0.914482,0.403,0.999828,0.999666,0.985048
0.91902,0.405,0.999534,0.99965,0.984656
0.923558,0.407,0.999583,0.999635,0.984258
0.928097,0.409,0.999583,0.999618,0.983852
0.932635,0.411,0.99924,0.999602,0.98344
0.937174,0.413,0.99951,0.999584,0.983021
0.941712,0.415,0.999412,0.999566,0.982595
0.94625,0.417,0.999657,0.999548,0.982162
0.950789,0.419,0.999583,0.999528,0.981722
0.955327,0.421,0.999657,0.999508,0.981275
0.959865,0.423,0.999485,0.999488,0.980821
0.964404,0.425,0.999314,0.999467,0.98036
0.968942,0.427,0.999632,0.999445,0.979892
0.97348,0.429,0.999412,0.999422,0.979416
0.978019,0.431,0.999387,0.999399,0.978933
0.982557,0.433,0.999461,0.999375,0.978443
0.987096,0.435,0.999191,0.99935,0.977946
0.991634,0.437,0.999167,0.999325,0.977441
0.996172,0.439,0.999265,0.999299,0.976928
1.00071,0.441,0.999338,0.999271,0.976409
1.00525,0.443,0.998873,0.999244,0.975881
1.00979,0.445,0.998775,0.999215,0.975346
1.01433,0.447,0.998897,0.999185,0.974804
1.01886,0.449,0.999118,0.999155,0.974254
1.0234,0.451,0.998725,0.999124,0.973696
1.02794,0.453,0.998848,0.999091,0.97313
1.03248,0.455,0.998946,0.999058,0.972557
1.03702,0.457,0.999044,0.999024,0.971976
1.04156,0.459,0.999069,0.998989,0.971387
1.04609,0.461,0.998235,0.998954,0.97079
1.05063,0.463,0.99924,0.998917,0.970185
1.05517,0.465,0.998946,0.998879,0.969572
1.05971,0.467,0.99848,0.99884,0.968951
1.06425,0.469,0.99924,0.9988,0.968322
1.06879,0.471,0.998284,0.998759,0.967684
1.07332,0.473,0.998725,0.998717,0.967039
1.07786,0.475,0.998235,0.998674,0.966385
1.0824,0.477,0.999142,0.998629,0.965723
1.08694,0.479,0.998358,0.998584,0.965053
1.09148,0.481,0.998578,0.998537,0.964375
1.09602,0.483,0.998333,0.99849,0.963688
1.10055,0.485,0.998922,0.998441,0.962992
1.10509,0.487,0.997868,0.99839,0.962289
1.10963,0.489,0.998137,0.998339,0.961576
1.11417,0.491,0.998431,0.998286,0.960855
1.11871,0.493,0.997819,0.998232,0.960126
1.12325,0.495,0.998186,0.998177,0.959388
1.12779,0.497,0.9975,0.998121,0.958641
1.13232,0.499,0.997819,0.998063,0.957885
1.13686,0.501,0.998064,0.998004,0.957121
1.1414,0.503,0.998088,0.997943,0.956348
1.14594,0.505,0.997525,0.997881,0.955565
1.15048,0.507,0.997672,0.997817,0.954774
1.15502,0.509,0.99777,0.997753,0.953975
1.15955,0.511,0.998358,0.997686,0.953166
1.16409,0.513,0.997402,0.997618,0.952348
1.16863,0.515,0.997721,0.997549,0.951521
1.17317,0.517,0.997745,0.997478,0.950684
1.17771,0.519,0.997328,0.997406,0.949839
1.18225,0.521,0.997279,0.997331,0.948985
1.18678,0.523,0.997377,0.997256,0.948121
1.19132,0.525,0.997377,0.997178,0.947248
1.19586,0.527,0.996863,0.997099,0.946365
