Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
493,-0.01105,-0.8427,0.004425,-1.106,-0.009025,-1.4013,0.005525,-1.7502,-0.036875,-2.203,-0.764675,-3.0432,-0.908675,-3.4835,-0.974225,-3.8223,-0.991325,-1.96745
494,-0.012825,-0.8738,0.007525,-1.1045,-0.0129,-1.4094,0.0061,-1.7439,-0.036325,-2.2124,-0.765525,-3.0405,-0.91115,-3.4892,-0.973775,-3.8202,-0.98995,-1.96285
495,-0.006675,-0.8678,0.006775,-1.1066,-0.011875,-1.3947,0.00355,-1.7562,-0.03455,-2.2091,-0.7642,-3.0195,-0.910025,-3.4877,-0.9738,-3.8237,-0.9904,-1.9641
496,-0.0051,-0.8431,0.00435,-1.1181,-0.009675,-1.3867,0.003475,-1.7562,-0.032525,-2.1918,-0.7654,-3.026,-0.908575,-3.4797,-0.973775,-3.8226,-0.99045,-1.96455
497,-0.0077,-0.861,-0.000475,-1.1153,-0.0135,-1.4069,0.002475,-1.7461,-0.032675,-2.2025,-0.768975,-3.0316,-0.9084,-3.4805,-0.97345,-3.8217,-0.990775,-1.9658
498,-0.0003,-0.8501,-0.002125,-1.0928,-0.007025,-1.405,0.00195,-1.7527,-0.0323,-2.2173,-0.7692,-3.0395,-0.90895,-3.4737,-0.973075,-3.8163,-0.990575,-1.96565
499,0.0032,-0.867,-0.0005,-1.106,-0.0055,-1.4112,0.001575,-1.756,-0.026675,-2.1919,-0.769075,-3.0462,-0.91015,-3.4826,-0.9736,-3.8178,-0.989425,-1.96115
500,0.000225,-0.8758,0.0009,-1.1024,-0.010825,-1.4119,0.0065,-1.7705,-0.026125,-2.2032,-0.7669,-3.0399,-0.91435,-3.5044,-0.97425,-3.8244,-0.990175,-1.964
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
