Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
29,-0.000125,-0.8418,0.003425,-1.1108,-0.0081,-1.4098,-0.1709,-1.7879,-0.54535,-2.4366,-0.809525,-3.1135,-0.91245,-3.5082,-0.9732,-3.8175,-0.990175,-1.9633
30,-0.00465,-0.8578,0.010625,-1.1112,-0.00975,-1.4144,-0.164025,-1.8115,-0.540125,-2.4253,-0.8061,-3.1037,-0.909475,-3.483,-0.975425,-3.8311,-0.98925,-1.961
31,-0.00865,-0.8358,0.013325,-1.1114,-0.0065,-1.4037,-0.1511,-1.7955,-0.535825,-2.4277,-0.802025,-3.0761,-0.90985,-3.4916,-0.974075,-3.8216,-0.990275,-1.9639
32,-0.000925,-0.8608,0.010275,-1.111,-0.00775,-1.4188,-0.141575,-1.8045,-0.53625,-2.4275,-0.80285,-3.0863,-0.9104,-3.4919,-0.9745,-3.8236,-0.989325,-1.9609
33,-0.002825,-0.8486,0.007225,-1.1168,-0.010425,-1.4059,-0.133475,-1.8008,-0.529575,-2.4237,-0.7993,-3.0812,-0.910675,-3.4975,-0.974525,-3.8244,-0.9907,-1.9659
34,0.002425,-0.8505,0.0067,-1.1431,-0.004075,-1.3852,-0.124875,-1.786,-0.521075,-2.4137,-0.798225,-3.0861,-0.911475,-3.5011,-0.9747,-3.8231,-0.99075,-1.96545
35,0.001075,-0.8714,0.0016,-1.1204,0.000275,-1.3964,-0.105175,-1.768,-0.51295,-2.4094,-0.799875,-3.0814,-0.912025,-3.5002,-0.973225,-3.8172,-0.991125,-1.96615
36,-0.0043,-0.8531,0.014425,-1.1147,-0.00305,-1.4077,-0.104125,-1.7757,-0.504975,-2.3924,-0.800675,-3.0945,-0.91155,-3.499,-0.97375,-3.8191,-0.990875,-1.96605
37,-0.004925,-0.8609,0.010875,-1.1159,-0.00165,-1.4271,-0.10675,-1.7511,-0.4936,-2.3738,-0.796725,-3.0902,-0.911675,-3.4956,-0.9729,-3.8109,-0.9912,-1.9678
38,-0.007425,-0.8781,0.015875,-1.0928,-0.01635,-1.4199,-0.100525,-1.7367,-0.483775,-2.3565,-0.79745,-3.1012,-0.9136,-3.5011,-0.973325,-3.8159,-0.990425,-1.96485
39,-0.007075,-0.8689,0.010275,-1.1026,-0.01015,-1.4032,-0.093,-1.7536,-0.4768,-2.3351,-0.79225,-3.0848,-0.91225,-3.4965,-0.97325,-3.8181,-0.990025,-1.96335
40,-0.003,-0.8521,0.00385,-1.0918,-0.00945,-1.409,-0.082575,-1.7542,-0.4746,-2.3301,-0.7954,-3.0926,-0.91495,-3.51,-0.9714,-3.8058,-0.9896,-1.9613
41,-0.000875,-0.8796,-0.001525,-1.1267,-0.01105,-1.4084,-0.078025,-1.7549,-0.47375,-2.3206,-0.79605,-3.0725,-0.913925,-3.5124,-0.97365,-3.8211,-0.989375,-1.9613
42,0.001175,-0.8558,-0.00865,-1.1218,-0.0114,-1.432,-0.0712,-1.7384,-0.465425,-2.3398,-0.794725,-3.0759,-0.91305,-3.5014,-0.973325,-3.8202,-0.98905,-1.9605
43,0.00135,-0.8594,-0.01405,-1.1242,-0.010525,-1.401,-0.067475,-1.7458,-0.464225,-2.3334,-0.791325,-3.0623,-0.913075,-3.5057,-0.97255,-3.8153,-0.989075,-1.96075
44,-0.00295,-0.8649,-0.00685,-1.1295,-0.008925,-1.3935,-0.063025,-1.7355,-0.452325,-2.3104,-0.791,-3.0608,-0.913075,-3.5039,-0.9718,-3.81,-0.990075,-1.9639
45,0.0006,-0.8524,-0.00925,-1.134,-0.006525,-1.4097,-0.06165,-1.7607,-0.447075,-2.3214,-0.794775,-3.078,-0.9094,-3.4806,-0.972575,-3.8106,-0.989525,-1.9605
46,-0.00495,-0.8489,-0.005925,-1.1183,-0.006425,-1.3978,-0.063775,-1.7804,-0.44255,-2.3166,-0.792725,-3.0606,-0.9096,-3.487,-0.9728,-3.8139,-0.9895,-1.96125
47,-0.00295,-0.8511,-0.0099,-1.1243,-0.00545,-1.4131,-0.057925,-1.7717,-0.4346,-2.3051,-0.789925,-3.0569,-0.912775,-3.5038,-0.9707,-3.8039,-0.9904,-1.9637
48,0.010225,-0.8503,-0.008225,-1.1342,-0.00065,-1.418,-0.05365,-1.7726,-0.4299,-2.2962,-0.787875,-3.063,-0.91155,-3.5034,-0.9715,-3.8085,-0.990725,-1.9653
49,-0.0017,-0.8414,-0.0039,-1.127,-0.009875,-1.4032,-0.055275,-1.7672,-0.42445,-2.3083,-0.7858,-3.0464,-0.91225,-3.5096,-0.9729,-3.8137,-0.991825,-1.9693
50,0.0018,-0.8372,-0.0044,-1.1457,-0.0122,-1.3971,-0.0556,-1.7985,-0.421925,-2.2957,-0.78645,-3.0487,-0.9098,-3.4857,-0.97345,-3.8183,-0.990375,-1.9643
51,0.00665,-0.8454,0.006325,-1.1452,-0.004975,-1.3828,-0.0557,-1.7969,-0.4251,-2.3123,-0.783525,-3.038,-0.910325,-3.4914,-0.97325,-3.8127,-0.9907,-1.96615
52,0.00765,-0.8537,-0.003,-1.124,0.0034,-1.4033,-0.04405,-1.7737,-0.4182,-2.3082,-0.781225,-3.0413,-0.9099,-3.4845,-0.974925,-3.8245,-0.9902,-1.96365
53,0.0094,-0.8759,-0.00035,-1.1221,0.0024,-1.4094,-0.0435,-1.7505,-0.410625,-2.2891,-0.78375,-3.0509,-0.910575,-3.489,-0.975325,-3.8274,-0.98965,-1.9615
